sure_s,kazanan_drone_id,kazanan_teklif_puani,enlem_deg,boylam_deg,mutlak_irtifa_m,bagil_irtifa_m,home_mesafesi_m,hedef_mesafesi_m
3.601,3,102.292,47.3979661,8.5461682,0.221,0.006,0.011,2.233
3.621,3,102.292,47.3979661,8.5461682,0.222,0.006,0.011,2.233
3.641,3,102.292,47.3979661,8.5461682,0.222,0.006,0.011,2.233
3.661,3,102.292,47.3979662,8.5461682,0.222,0.007,0.022,2.228
3.681,3,102.292,47.3979662,8.5461682,0.223,0.007,0.022,2.228
3.701,3,102.292,47.3979662,8.5461682,0.223,0.007,0.022,2.228
3.722,3,102.292,47.3979662,8.5461682,0.224,0.008,0.022,2.228
3.741,3,102.292,47.3979662,8.5461682,0.224,0.008,0.022,2.228
3.761,3,102.292,47.3979662,8.5461682,0.225,0.009,0.022,2.228
3.78,3,102.292,47.3979662,8.5461682,0.225,0.009,0.022,2.228
3.801,3,102.292,47.3979662,8.5461682,0.225,0.01,0.022,2.228
3.821,3,102.292,47.3979662,8.5461682,0.226,0.01,0.022,2.228
3.841,3,102.292,47.3979662,8.5461682,0.226,0.011,0.022,2.228
3.861,3,102.292,47.3979662,8.5461682,0.227,0.011,0.022,2.228
3.881,3,102.292,47.3979662,8.5461682,0.227,0.011,0.022,2.228
3.9,3,102.292,47.3979662,8.5461682,0.228,0.012,0.022,2.228
3.921,3,102.292,47.3979662,8.5461682,0.228,0.012,0.022,2.228
3.941,3,102.292,47.3979662,8.5461681,0.228,0.013,0.023,2.221
3.961,3,102.292,47.3979662,8.5461681,0.229,0.013,0.023,2.221
3.981,3,102.292,47.3979662,8.5461681,0.229,0.013,0.023,2.221
4.001,3,102.292,47.3979661,8.5461681,0.23,0.014,0.013,2.226
4.021,3,102.292,47.3979661,8.5461681,0.23,0.014,0.013,2.226
4.041,3,102.292,47.3979661,8.5461681,0.231,0.015,0.013,2.226
4.063,3,102.292,47.3979661,8.5461681,0.231,0.015,0.013,2.226
4.081,3,102.292,47.3979661,8.5461681,0.232,0.016,0.013,2.226
4.1,3,102.292,47.3979661,8.5461681,0.232,0.016,0.013,2.226
4.121,3,102.292,47.3979661,8.5461681,0.232,0.017,0.013,2.226
4.141,3,102.292,47.3979661,8.5461681,0.233,0.017,0.013,2.226
4.161,3,102.292,47.3979661,8.5461681,0.233,0.017,0.013,2.226
4.181,3,102.292,47.3979661,8.5461681,0.234,0.018,0.013,2.226
4.201,3,102.292,47.3979661,8.5461681,0.234,0.018,0.013,2.226
4.224,3,102.292,47.3979661,8.5461681,0.234,0.018,0.013,2.226
4.241,3,102.292,47.3979661,8.5461681,0.235,0.019,0.013,2.226
4.261,3,102.292,47.3979661,8.5461681,0.235,0.019,0.013,2.226
4.281,3,102.292,47.3979661,8.5461681,0.235,0.02,0.013,2.226
4.3,3,102.292,47.3979661,8.5461681,0.236,0.02,0.013,2.226
4.321,3,102.292,47.3979661,8.5461681,0.237,0.021,0.013,2.226
4.341,3,102.292,47.3979661,8.5461681,0.237,0.021,0.013,2.226
4.361,3,102.292,47.3979661,8.5461681,0.239,0.023,0.013,2.226
4.381,3,102.292,47.3979661,8.5461681,0.24,0.024,0.013,2.226
4.402,3,102.292,47.3979661,8.5461681,0.241,0.025,0.013,2.226
4.421,3,102.292,47.3979661,8.5461681,0.243,0.027,0.013,2.226
4.441,3,102.292,47.3979661,8.5461681,0.245,0.029,0.013,2.226
4.463,3,102.292,47.3979661,8.546168,0.247,0.031,0.019,2.219
4.481,3,102.292,47.3979661,8.546168,0.25,0.035,0.019,2.219
4.501,3,102.292,47.3979661,8.546168,0.253,0.037,0.019,2.219
4.521,3,102.292,47.3979661,8.546168,0.257,0.041,0.019,2.219
4.541,3,102.292,47.3979661,8.546168,0.26,0.044,0.019,2.219
4.561,3,102.292,47.3979661,8.546168,0.263,0.048,0.019,2.219
4.581,3,102.292,47.3979661,8.546168,0.269,0.053,0.019,2.219
4.601,3,102.292,47.3979661,8.546168,0.275,0.059,0.019,2.219
4.623,3,102.292,47.3979661,8.546168,0.279,0.063,0.019,2.219
4.64,3,102.292,47.3979661,8.546168,0.286,0.07,0.019,2.219
4.661,3,102.292,47.3979661,8.546168,0.291,0.075,0.019,2.219
4.681,3,102.292,47.3979661,8.546168,0.299,0.083,0.019,2.219
4.701,3,102.292,47.3979661,8.546168,0.305,0.089,0.019,2.219
4.721,3,102.292,47.3979661,8.546168,0.314,0.098,0.019,2.219
4.741,3,102.292,47.3979661,8.546168,0.32,0.104,0.019,2.219
4.761,3,102.292,47.3979661,8.546168,0.33,0.114,0.019,2.219
4.781,3,102.292,47.3979661,8.546168,0.337,0.121,0.019,2.219
4.801,3,102.292,47.397966,8.546168,0.347,0.132,0.015,2.224
4.821,3,102.292,47.397966,8.5461679,0.355,0.139,0.023,2.218
4.841,3,102.292,47.397966,8.5461679,0.367,0.151,0.023,2.218
4.861,3,102.292,47.397966,8.5461679,0.375,0.159,0.023,2.218
4.881,3,102.292,47.397966,8.5461679,0.388,0.172,0.023,2.218
4.901,3,102.292,47.397966,8.5461679,0.397,0.181,0.023,2.218
4.921,3,102.292,47.397966,8.5461679,0.41,0.194,0.023,2.218
4.941,3,102.292,47.397966,8.5461679,0.419,0.204,0.023,2.218
4.961,3,102.292,47.397966,8.5461679,0.434,0.218,0.023,2.218
4.981,3,102.292,47.397966,8.5461679,0.444,0.228,0.023,2.218
5.0,3,102.292,47.397966,8.5461679,0.459,0.243,0.023,2.218
5.021,3,102.292,47.397966,8.5461679,0.469,0.253,0.023,2.218
